RegionType,Name,FIPSCode,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,DelinqR
State,Alabama,1,,2.4,2.3,2.2,2.3,2.2,2.2,2.1,2,2.1,2.2,2.2,2.2,2,1.9,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.9,1.9,1.7,1.6,1.6,1.5,1.5,1.4,1.4,1.4,1.4,1.5,1.5,1.4,1.4,1.2,1.3,1.2,1.2,1.3,1.2,1.2,1.2,1.2,1.3,1.2,1.2,1.1,1.1,1,1.1,1.1,1.1,1.1,1,1.1,1.59
State,Alaska,2,,1.1,1.1,1.1,1,1,0.9,0.9,1,1,0.9,0.9,0.9,0.8,0.7,0.8,0.8,0.9,0.9,1,0.9,0.8,0.6,0.6,0.7,0.7,0.6,0.6,0.6,0.8,0.7,0.7,0.7,0.7,0.7,0.6,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.7,0.7,0.8,0.8,0.8,0.9,0.8,0.8,0.8,0.8,0.7,0.7,0.78
State,Arizona,4,,1.5,1.4,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.4,1.4,1.3,1.2,1.2,1.2,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.2,1,1,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.8,0.8,0.7,0.7,0.7,0.7,0.7,0.6,0.7,0.7,0.7,0.7,0.6,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.5,0.6,0.94
State,Arkansas,5,,2.5,2.4,2.3,2.3,2.3,2.3,2.3,2.2,2.2,2.2,2.2,2.2,2,1.8,1.8,1.8,1.8,1.7,1.7,1.7,1.6,1.6,1.5,1.7,1.6,1.5,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.4,1.5,1.5,1.4,1.3,1.3,1.3,1.2,1.2,1.1,1.2,1.3,1.3,1.2,1.3,1.3,1.2,1.2,1.3,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.58
State,California,6,,1.7,1.6,1.5,1.5,1.5,1.4,1.4,1.4,1.3,1.3,1.3,1.3,1.2,1.2,1.1,1.2,1.1,1.1,1.1,1,1,0.9,0.9,0.9,1,0.9,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.89
State,Colorado,8,,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1,1,1,1,0.9,0.9,0.8,0.8,0.8,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.5,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.67
State,Connecticut,9,,2.9,2.8,2.7,2.8,2.8,2.7,2.8,2.8,2.7,2.8,2.8,2.7,2.7,2.7,2.6,2.5,2.6,2.5,2.5,2.5,2.4,2.2,2.2,2.3,2.4,2.2,2,2.1,1.9,1.9,2,2,1.9,1.9,1.9,2,1.8,1.8,1.8,1.7,1.7,1.6,1.6,1.5,1.5,1.6,1.6,1.6,1.6,1.5,1.3,1.4,1.4,1.3,1.2,1.3,1.2,1.2,1.3,2.06
State,Delaware,10,,3.4,3.4,3.4,3.4,3.3,3.2,3,3.2,3.1,3.1,3.2,3.2,3,2.8,2.7,2.5,2.5,2.6,2.6,2.5,2.5,2.5,2.4,2.5,2.6,2.3,2.3,2.4,2.2,2.3,2.2,2,1.9,1.9,1.9,2.1,1.9,1.8,1.7,1.7,1.7,1.6,1.6,1.6,1.7,1.6,1.7,1.6,1.5,1.4,1.4,1.3,1.2,1.4,1.4,1.2,1.2,1.2,1.4,2.22
State,District of Columbia,11,,4.4,4.1,4,4,3.7,3.7,3.6,3.4,3.1,2.9,3,3,2.8,2.6,2.6,2.5,2.5,2.5,2.4,2.4,2.3,2,2.1,2.1,2.1,2,2,2.1,1.9,1.9,1.8,1.6,1.7,1.7,1.6,1.6,1.5,1.4,1.5,1.5,1.4,1.4,1.5,1.4,1.4,1.4,1.4,1.3,1.5,1.3,1.1,1.1,1,1.1,1.2,1.1,1.1,1.1,1.1,2.09
State,Florida,12,,4.5,4.3,4.1,4.1,4,3.9,3.9,3.8,3.7,3.6,3.6,3.5,3.4,3.2,3.1,3,2.8,2.7,2.6,2.5,2.4,2.3,2.3,2.3,2.5,2.2,2,2,1.9,1.9,1.9,1.8,1.8,1.7,1.7,1.7,1.7,1.6,1.6,1.5,1.5,1.4,1.4,1.2,1.1,1,1.1,1.2,1.2,1.2,1.3,1.3,1.3,1.3,1.3,1.2,1.2,1.1,1.2,2.25
State,Georgia,13,,2.7,2.6,2.5,2.5,2.4,2.5,2.4,2.3,2.3,2.4,2.4,2.3,2.2,2.1,2,1.9,1.9,1.9,1.8,1.8,1.8,1.7,1.7,1.8,1.8,1.6,1.5,1.5,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.5,1.4,1.3,1.3,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.1,1.3,1.2,1.1,1,1,1,1,1,1,1,1,1,1.62
State,Hawaii,15,,2.3,2.2,2.1,2.2,2.3,2.2,2.3,2.2,2.2,2.1,2.1,2,2,2,1.9,1.8,1.7,1.6,1.5,1.5,1.5,1.5,1.4,1.4,1.5,1.4,1.2,1.2,1.1,1.1,1.2,1.2,1.2,1.2,1,1.1,1.1,1,1,1,1,1,0.9,1,0.9,1,1,1,1,1,0.9,0.9,0.8,0.9,0.9,0.9,0.8,0.8,0.8,1.39
State,Idaho,16,,1.5,1.4,1.3,1.3,1.3,1.2,1.2,1.2,1.1,1.1,1.1,1.1,1.1,1,0.9,1,1.1,1,1,1,1,0.8,0.8,0.8,0.8,0.7,0.7,0.7,0.6,0.6,0.7,0.8,0.8,0.8,0.8,0.7,0.7,0.6,0.5,0.6,0.6,0.6,0.6,0.5,0.6,0.6,0.7,0.6,0.5,0.5,0.4,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.81
State,Illinois,17,,2.7,2.5,2.5,2.5,2.5,2.4,2.4,2.4,2.3,2.3,2.3,2.3,2.2,2.1,2.1,2.1,2.1,2.1,2,2,2,1.9,1.9,1.8,1.9,1.7,1.6,1.6,1.5,1.5,1.6,1.5,1.5,1.5,1.5,1.5,1.5,1.4,1.4,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.4,1.3,1.3,1.2,1.1,1.1,1,1,1,1,1,1,1,1.70
State,Indiana,18,,2.2,2.1,2,2.1,2.1,2,2,2,2,2,2.1,2.1,2,1.8,1.7,1.7,1.7,1.7,1.7,1.6,1.6,1.6,1.6,1.6,1.7,1.5,1.4,1.4,1.4,1.4,1.3,1.3,1.3,1.4,1.3,1.4,1.3,1.2,1.1,1.1,1.2,1.1,1.1,1.1,1.1,1.1,1.2,1.2,1.1,1,1,1,0.9,0.9,0.9,1,1,1,1,1.46
State,Iowa,19,,1.5,1.4,1.3,1.4,1.3,1.4,1.4,1.4,1.4,1.3,1.4,1.3,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.1,1.1,1.1,1.1,1.1,1,1,0.9,0.9,0.9,1,0.9,0.9,0.9,1,1,1,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.8,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.9,1.04
State,Kansas,20,,1.6,1.6,1.5,1.5,1.5,1.5,1.5,1.6,1.6,1.6,1.6,1.5,1.4,1.3,1.3,1.3,1.2,1.2,1.2,1.2,1.2,1.3,1.3,1.3,1.3,1.2,1.2,1.2,1.1,1.1,1.1,1.1,1.1,1.1,1,1,1,1,0.9,0.8,0.8,0.9,0.9,0.9,0.8,0.9,0.9,1,0.9,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.9,1.12
State,Kentucky,21,,2.1,2,1.9,2,2,2,2.1,2,2,2,2.1,2.1,2,1.9,1.8,1.7,1.7,1.6,1.7,1.8,1.7,1.7,1.8,1.8,1.9,1.7,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.4,1.5,1.4,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.4,1.4,1.4,1.4,1.3,1.3,1.2,1.3,1.2,1.2,1.2,1.2,1.1,1.1,1.59
State,Louisiana,22,,2.5,2.4,2.3,2.3,2.2,2.3,2.3,2.4,2.4,2.5,2.6,2.5,2.4,2.2,2.1,2,2,2.1,2,2,1.9,1.9,2,2.2,2.3,2.1,2,1.9,1.9,2,2,1.9,1.9,2,2.2,2.3,2.1,1.9,1.9,1.9,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.7,1.7,1.7,1.8,1.7,1.7,1.6,1.7,1.6,1.7,1.7,2.01
State,Maine,23,,3,2.9,2.9,2.9,2.8,2.8,2.8,2.8,2.7,2.9,3,3,3,2.8,2.9,2.9,2.9,2.9,2.7,2.8,2.7,2.4,2.5,2.5,2.6,2.3,2.1,2.1,2.1,2,1.9,1.9,1.9,1.8,1.8,2,1.9,1.9,1.7,1.7,1.6,1.6,1.6,1.5,1.5,1.5,1.5,1.5,1.4,1.4,1.3,1.4,1.3,1.2,1.1,1.2,1.2,1.1,1.1,2.12
State,Maryland,24,,3.7,3.5,3.3,3.5,3.3,3.2,3.1,3.1,3,3,3,2.9,2.9,2.8,2.6,2.6,2.5,2.5,2.4,2.4,2.3,2.3,2.2,2.2,2.4,2.2,2,2,1.9,1.9,1.8,1.8,1.9,1.9,1.8,1.8,1.8,1.7,1.6,1.7,1.6,1.6,1.6,1.5,1.6,1.6,1.6,1.6,1.6,1.5,1.4,1.3,1.3,1.3,1.3,1.3,1.3,1.2,1.2,2.13
State,Massachusetts,25,,2.6,2.5,2.4,2.4,2.4,2.4,2.3,2.4,2.3,2.3,2.4,2.3,2.2,2.2,2.1,2.1,2.1,2,2,1.9,1.9,1.8,1.8,1.8,1.8,1.6,1.6,1.5,1.4,1.4,1.4,1.4,1.4,1.4,1.3,1.4,1.3,1.3,1.2,1.2,1.2,1.2,1.1,1.2,1.2,1.1,1.2,1.1,1.1,1,1,1,0.9,0.9,0.8,0.8,0.8,0.8,0.8,1.60
State,Michigan,26,,1.9,1.8,1.8,1.7,1.8,1.7,1.7,1.7,1.7,1.6,1.7,1.6,1.6,1.4,1.4,1.3,1.3,1.3,1.3,1.3,1.2,1.2,1.3,1.2,1.3,1.1,1,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.8,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,1.08
State,Minnesota,27,,1.3,1.3,1.3,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.1,1.1,1,1,1,1,0.9,0.9,0.9,0.9,0.9,0.8,0.9,0.9,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.81
State,Mississippi,28,,3.5,3.3,3.2,3.2,3.3,3.2,3.2,3.3,3.2,3.2,3.3,3.3,3.1,3,2.8,2.8,2.8,2.8,2.7,2.8,2.8,2.7,3,3,2.9,2.7,2.4,2.4,2.3,2.3,2.3,2.3,2.3,2.3,2.4,2.4,2.4,2.1,2.1,2.2,2.1,2.1,2.1,2.1,2.2,2.2,2.2,2.2,2.2,1.9,1.9,1.9,1.7,1.8,1.8,1.9,1.9,1.9,2,2.53
State,Missouri,29,,2,1.9,1.9,1.9,1.8,1.8,1.7,1.7,1.8,1.8,1.8,1.8,1.7,1.6,1.5,1.5,1.4,1.4,1.3,1.3,1.3,1.3,1.4,1.4,1.4,1.2,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1,0.9,0.9,0.9,0.9,0.8,0.8,0.9,0.9,0.9,1,0.9,0.9,0.8,0.8,0.8,0.7,0.7,0.7,0.8,0.7,0.8,0.7,1.22
State,Montana,30,,1.1,1.1,1.2,1.2,1.1,1,1.1,1,1.1,1.1,1,1.1,1.1,1,0.9,0.8,0.8,0.9,1,1,0.9,0.9,0.9,0.9,0.9,0.9,0.8,0.8,0.8,0.9,0.8,0.8,0.8,0.8,0.9,1.1,0.9,0.9,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.7,0.8,0.8,0.8,0.8,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.87
State,Nebraska,31,,1.2,1.1,1,1,1.1,1.1,1.1,1.1,1,1.1,1.2,1.1,1,0.9,0.9,0.8,0.8,0.8,0.9,0.9,0.9,0.8,0.9,0.8,0.9,0.8,0.7,0.7,0.7,0.7,0.8,0.9,0.9,0.8,0.8,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.4,0.5,0.79
State,Nevada,32,,3.9,3.7,3.5,3.5,3.4,3.3,3.2,3.1,3.1,3,3,3,2.9,2.8,2.7,2.7,2.6,2.5,2.4,2.4,2.3,2.2,2.1,2.1,2.1,1.9,1.8,1.9,1.7,1.6,1.6,1.5,1.5,1.4,1.4,1.4,1.3,1.3,1.2,1.2,1.2,1.2,1.2,1.1,1.1,1.1,1.1,1,1,0.9,0.8,0.8,0.8,0.8,0.7,0.7,0.6,0.6,0.7,1.89
State,New Hampshire,33,,1.4,1.3,1.3,1.4,1.4,1.4,1.4,1.5,1.5,1.4,1.4,1.4,1.4,1.3,1.3,1.2,1.2,1.2,1.1,1.1,1.1,1.1,1,1.1,1.1,1.1,0.9,1,1,1,0.9,0.8,0.9,1,1,1,0.9,0.8,0.9,0.7,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.7,0.6,0.7,0.6,0.6,0.5,0.6,0.6,0.6,0.99
State,New Jersey,34,,4.8,4.6,4.5,4.6,4.4,4.4,4.3,4.2,4,4,4.1,4.2,4.1,4,3.9,3.9,3.8,3.7,3.5,3.5,3.3,3.3,3.2,3.3,3.8,3.2,2.9,2.9,2.8,2.9,2.9,2.7,2.7,2.7,2.6,2.6,2.5,2.4,2.4,2.3,2.2,2.1,2,2,1.9,1.9,1.9,1.8,1.8,1.7,1.6,1.5,1.5,1.4,1.4,1.3,1.3,1.3,1.3,2.91
State,New Mexico,35,,2.2,2.1,2.1,2.1,2.2,2.2,2.2,2.2,2.2,2.2,2.3,2.3,2.2,2.1,2,2.1,1.9,1.9,1.9,1.7,1.7,1.7,1.9,1.9,2.2,1.8,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.7,1.6,1.6,1.6,1.5,1.5,1.5,1.5,1.5,1.5,1.4,1.4,1.4,1.3,1.2,1.1,1.2,1.2,1.1,1.1,1,1,1,1.1,1.69
State,New York,36,,3.7,3.6,3.5,3.7,3.7,3.7,3.7,3.7,3.5,3.5,3.6,3.6,3.5,3.4,3.3,3.2,3.2,3.1,3,2.9,2.9,2.8,2.7,2.7,3.1,2.8,2.5,2.4,2.4,2.4,2.4,2.3,2.3,2.3,2.3,2.3,2.2,2.2,2.1,2,2,2,1.9,1.9,1.9,1.9,1.9,1.8,1.7,1.6,1.5,1.5,1.5,1.4,1.4,1.4,1.3,1.3,1.3,2.53
State,North Carolina,37,,2.4,2.3,2.2,2.2,2.1,2.1,2.1,2.1,2.1,2.1,2.2,2.2,2.1,2,1.9,1.8,1.8,1.8,1.7,1.8,1.7,1.7,1.7,1.8,1.8,1.6,1.6,1.5,1.5,1.5,1.5,1.5,1.4,1.4,1.5,1.6,1.5,1.5,1.4,1.3,1.3,1.3,1.3,1.3,1.4,1.4,1.4,1.4,1.3,1.2,1.1,1.1,1.1,1.1,1,1,1,1,1,1.61
State,North Dakota,38,,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.6,0.6,0.5,0.4,0.4,0.5,0.6,0.6,0.5,0.6,0.5,0.5,0.6,0.5,0.5,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.7,0.8,0.7,0.8,0.7,0.8,0.7,0.7,0.6,0.7,0.7,0.8,0.7,0.8,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.5,0.5,0.63
State,Ohio,39,,2.4,2.3,2.2,2.2,2.1,2.1,2,2.1,2,2.1,2.1,2.1,2,1.8,1.8,1.8,1.7,1.7,1.7,1.7,1.6,1.6,1.6,1.6,1.8,1.6,1.5,1.4,1.4,1.5,1.4,1.4,1.4,1.3,1.4,1.4,1.3,1.3,1.3,1.2,1.2,1.2,1.2,1.2,1.2,1.1,1.1,1.1,1.1,1,0.9,0.9,0.8,0.9,0.9,0.9,0.8,0.8,0.9,1.49
State,Oklahoma,40,,2.1,1.9,1.8,1.9,1.9,1.9,1.9,1.9,1.9,2,1.9,2,1.8,1.7,1.6,1.5,1.5,1.5,1.4,1.6,1.6,1.6,1.6,1.8,1.9,1.7,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.7,1.8,1.6,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.4,1.4,1.2,1.1,1.2,1.1,1.2,1.2,1.2,1.2,1.3,1.3,1.59
State,Oregon,41,,2.1,2,1.9,1.9,1.9,1.9,1.9,1.9,1.8,1.8,1.7,1.7,1.6,1.6,1.6,1.5,1.5,1.4,1.4,1.3,1.3,1.2,1.1,1.2,1.3,1.1,1,1,1,1,1,1,0.8,0.9,0.8,0.8,0.8,0.8,0.8,0.8,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.5,0.4,0.4,1.09
State,Pennsylvania,42,,2.7,2.6,2.5,2.5,2.5,2.5,2.5,2.5,2.4,2.4,2.5,2.5,2.4,2.3,2.2,2.2,2.2,2.1,2.1,2.1,2,2,2.1,2.2,2.3,2,1.8,1.8,1.7,1.8,1.9,1.8,1.8,1.8,1.8,1.9,1.8,1.7,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.5,1.6,1.5,1.5,1.3,1.2,1.2,1.2,1.2,1.2,1.3,1.2,1.2,1.2,1.89
State,Rhode Island,44,,3.1,2.9,2.7,2.8,2.7,2.8,2.8,3,2.9,2.9,2.9,3,2.8,2.8,2.7,2.7,2.7,2.8,2.7,2.8,2.8,2.7,2.6,2.5,2.5,2.2,2.1,2,2,2,1.8,1.7,1.7,1.8,1.8,1.8,1.9,1.7,1.7,1.5,1.4,1.4,1.5,1.5,1.4,1.3,1.2,1.2,1.2,1.2,1.1,1,1.1,1.2,1.2,1.1,1.1,1.1,1.1,2.04
State,South Carolina,45,,2.6,2.4,2.4,2.5,2.4,2.4,2.2,2.3,2.2,2.3,2.5,2.4,2.3,2.1,2,2.1,2.1,2.1,2.1,2,2,1.8,2,2,2.1,1.9,1.8,1.8,1.7,1.7,1.8,1.7,1.7,1.8,1.8,1.8,1.8,1.7,1.6,1.6,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.4,1.5,1.4,1.3,1.2,1.2,1.2,1.1,1.2,1.1,1.2,1.2,1.81
State,South Dakota,46,,1.1,1,0.9,0.9,1,1,0.9,1,0.9,1,1,1,1,0.9,0.9,0.8,0.8,0.8,0.8,0.7,0.8,0.8,0.7,0.8,0.9,0.9,0.8,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.6,0.6,0.5,0.6,0.5,0.6,0.7,0.7,0.6,0.6,0.5,0.7,0.7,0.7,0.6,0.6,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.73
State,Tennessee,47,,2.2,2,1.9,2,2,2,2,2,1.9,1.9,2,2,1.9,1.8,1.7,1.6,1.6,1.6,1.5,1.5,1.5,1.5,1.5,1.6,1.6,1.4,1.3,1.3,1.3,1.3,1.3,1.2,1.3,1.3,1.3,1.3,1.2,1.1,1,1,1,1,1,0.9,1,1,1,1.1,1,0.9,0.9,0.9,0.9,0.9,0.9,0.8,0.9,0.9,1,1.38
State,Texas,48,,2,1.9,1.8,1.8,1.8,1.8,1.9,1.8,1.9,1.9,1.9,1.9,1.8,1.7,1.6,1.6,1.6,1.7,1.6,1.6,1.6,1.4,1.5,1.5,1.5,1.4,1.3,1.3,1.2,1.2,1.3,1.3,1.3,1.3,1.3,1.4,1.3,1.2,1.2,1.1,1.1,1.1,1,1,1,1,1.1,1.1,1.1,1.1,1,1,1,1,1,1,1,1,1,1.39
State,Utah,49,,1.6,1.6,1.4,1.4,1.4,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.2,1.1,1.1,1,1,0.9,0.9,0.9,1,0.9,1,1,0.9,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.7,0.7,0.8,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.6,0.6,0.6,0.6,0.6,0.5,0.6,0.6,0.6,0.5,0.6,0.5,0.5,0.5,0.88
State,Vermont,50,,1.8,1.8,1.8,1.7,1.6,1.6,1.6,1.5,1.5,1.5,1.6,1.5,1.5,1.6,1.5,1.5,1.4,1.3,1.3,1.4,1.4,1.4,1.3,1.5,1.7,1.6,1.2,1.3,1.2,1.4,1.4,1.3,1.4,1.5,1.4,1.4,1.3,1.2,1.2,1.3,1.2,1.2,1.2,1.1,1.1,1.1,1.2,1.2,1.1,1.1,1,1,1,1,1.1,1,1,0.9,0.9,1.34
State,Virginia,51,,1.7,1.7,1.6,1.7,1.6,1.6,1.5,1.5,1.5,1.5,1.5,1.6,1.5,1.4,1.4,1.4,1.4,1.4,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.2,1.1,1.1,1,1,1.1,1,1,1,1,1.1,1.1,1,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1,1,0.9,0.8,0.7,0.7,0.7,0.8,0.7,0.8,0.8,0.8,0.8,1.15
State,Washington,53,,2.3,2.2,2,2,2,1.9,1.9,1.9,1.8,1.8,1.7,1.7,1.6,1.5,1.5,1.4,1.4,1.3,1.3,1.3,1.3,1.2,1.2,1.2,1.3,1.1,1,1,0.9,0.9,1,0.9,0.9,0.9,0.9,0.9,0.8,0.8,0.7,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.09
State,West Virginia,54,,1.8,1.7,1.7,1.8,1.9,1.9,1.8,1.8,1.7,1.8,1.9,1.9,1.7,1.7,1.5,1.5,1.6,1.6,1.5,1.6,1.6,1.5,1.5,1.8,1.8,1.6,1.5,1.5,1.5,1.6,1.6,1.7,1.8,1.8,1.8,1.9,1.5,1.5,1.4,1.4,1.5,1.4,1.4,1.6,1.6,1.5,1.7,1.8,1.7,1.6,1.4,1.4,1.4,1.4,1.4,1.5,1.6,1.4,1.5,1.62
State,Wisconsin,55,,1.4,1.3,1.2,1.2,1.2,1.2,1.2,1.3,1.3,1.2,1.3,1.2,1.2,1.1,1.1,1.1,1,1,1,1,0.9,0.9,0.9,0.9,1,0.9,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.87
State,Wyoming,56,,0.7,0.8,0.8,1,1.1,1,1.1,1.1,1.2,1.1,1.2,1.2,1.1,1,0.9,0.9,0.9,0.8,0.9,0.8,0.9,1,1,1,1.1,1,0.9,1.1,1,1,1,0.9,1,1.1,1.2,1.1,1,1.1,1,1,0.9,0.9,0.9,0.9,0.8,0.9,0.9,0.9,0.8,0.7,0.8,0.7,0.6,0.7,0.7,0.5,0.7,0.6,0.5,0.92