STATEFP,year,totPopE,whiteP,blackP,amIndP,asianP,pacIsP,otherP,hispP,noHSP,age0_4,age5_14,age15_19,age20_24,age15_44,age45_49,age50_54,age55_59,age60_64,ageOv65,ageOv18,age18_64,a15_24P,und45P,ovr65P,disbP
01,2018,4864680,68.19,26.58,0.53,1.33,0.04,3.32,4.18,14.24,292125,614267,323914,334416,1890372,310307,330762,334011,309004,783832,3765887,2982055,13.53,57.49,16.11,16.3
02,2018,738516,64.84,3.27,14.44,6.3,1.2,9.95,6.93,7.28,54240,102349,47451,56749,315398,44874,48470,50904,43853,78428,552378,473950,14.11,63.91,10.62,12.0
04,2018,6946685,77.22,4.39,4.46,3.29,0.2,10.43,31.14,13.23,436102,920099,468197,488355,2757583,420088,425175,420490,408828,1158320,5312902,4154582,13.77,59.22,16.67,12.9
05,2018,2990671,77.0,15.41,0.67,1.47,0.27,5.18,7.32,13.81,190311,395579,201068,204406,1163477,182094,194386,195360,181928,487536,2284728,1797192,13.56,58.49,16.3,17.2
06,2018,39148760,60.1,5.79,0.76,14.32,0.39,18.64,38.88,17.07,2480679,5055988,2583578,2809630,16482385,2577771,2578082,2465921,2192477,5315457,30075105,24759648,13.78,61.35,13.58,10.6
08,2018,5531141,84.17,4.12,0.99,3.12,0.15,7.45,21.42,8.61,335199,714733,354630,377987,2331051,357390,357964,363001,331165,740638,4271322,3530684,13.25,61.13,13.39,10.6
09,2018,3581504,76.36,10.56,0.27,4.43,0.03,8.34,15.69,9.51,184983,425141,247182,245490,1359543,249188,272950,266170,235949,587580,2828879,2241299,13.76,55.0,16.41,11.0
10,2018,949495,68.97,22.11,0.36,3.87,0.05,4.64,9.09,10.22,54854,113842,59798,61022,357416,60008,66445,68175,61626,167129,746069,578940,12.72,55.41,17.6,12.3
11,2018,684498,40.97,46.94,0.29,3.9,0.05,7.84,10.92,9.41,44692,61291,37417,54117,350426,38274,38186,36453,33464,81712,562761,481049,13.37,66.68,11.94,11.8
12,2018,20598139,75.39,16.1,0.28,2.71,0.06,5.45,25.17,12.05,1117420,2308718,1201106,1284168,7644981,1326465,1422372,1399430,1314377,4064376,16449587,12385211,12.07,53.75,19.73,13.4
13,2018,10297484,59.04,31.46,0.33,3.91,0.06,5.21,9.4,13.32,655810,1415275,721206,718646,4232187,704947,702308,656064,578604,1352289,7796189,6443900,13.98,61.21,13.13,12.3
15,2018,1422029,25.01,1.85,0.21,37.75,10.08,25.11,10.4,8.16,90388,168781,77674,96819,557572,86972,89653,92789,89919,245955,1115528,869573,12.27,57.43,17.3,11.2
16,2018,1687809,90.49,0.68,1.35,1.41,0.16,5.91,12.39,9.43,114164,250361,120633,113385,663428,98136,100923,105507,101489,253801,1248633,994832,13.87,60.9,15.04,13.3
17,2018,12821497,71.67,14.23,0.25,5.39,0.04,8.43,16.96,11.11,776957,1639302,847578,875317,5154249,835418,871121,868764,780783,1894903,9894936,8000033,13.44,59.05,14.78,10.9
18,2018,6637426,83.59,9.33,0.22,2.18,0.04,4.62,6.78,11.42,418299,883260,458348,477704,2614698,419401,445154,448932,411619,996063,5063133,4067070,14.1,59.0,15.01,13.8
19,2018,3132499,90.28,3.51,0.37,2.4,0.1,3.35,5.85,8.01,197430,410184,214740,228772,1208062,186082,203506,213388,200535,513312,2402467,1889155,14.16,57.96,16.39,11.6
20,2018,2908776,84.59,5.84,0.83,2.87,0.07,5.8,11.71,9.27,194202,402193,200544,217162,1151317,169015,184222,192663,177387,437777,2193231,1755454,14.36,60.08,15.05,13.0
21,2018,4440204,87.08,7.98,0.22,1.41,0.06,3.24,3.58,14.3,274440,564733,290396,306631,1726143,287568,306536,309964,279311,691509,3428185,2736676,13.45,57.77,15.57,17.4
22,2018,4663616,62.21,32.23,0.56,1.71,0.03,3.26,5.04,15.19,309339,615510,301500,329326,1876915,281619,305087,310932,287507,676707,3555142,2878435,13.53,60.08,14.51,15.0
23,2018,1332813,94.48,1.34,0.62,1.12,0.02,2.41,1.61,7.69,64437,143379,79747,77353,465663,89226,101508,108271,101153,259176,1078152,818976,11.79,50.53,19.45,15.9
24,2018,6003435,56.19,29.78,0.26,6.23,0.05,7.48,9.81,9.96,366174,748555,384501,389347,2368200,411253,440672,421695,371549,875337,4659258,3783921,12.89,58.02,14.58,10.9
25,2018,6830193,78.48,7.48,0.21,6.48,0.03,7.32,11.55,9.57,362681,766847,459381,492489,2750218,460384,496392,481780,433667,1078224,5450296,4372072,13.94,56.8,15.79,11.6
26,2018,9957488,78.52,13.81,0.53,3.06,0.03,4.05,5.0,9.47,572374,1226636,669114,717149,3802412,646308,698963,722076,667775,1620944,7761390,6140446,13.92,56.25,16.28,14.3
27,2018,5527358,83.33,6.19,1.07,4.75,0.04,4.62,5.3,7.03,351740,725424,356498,361934,2156944,345274,380440,393455,343969,830112,4235751,3405639,13.0,58.51,15.02,10.8
28,2018,2988762,58.59,37.67,0.46,0.95,0.02,2.31,3.03,16.08,188575,407928,212886,212059,1184622,183522,194751,197536,182350,449478,2268454,1818976,14.22,59.59,15.04,16.3
29,2018,6090062,82.24,11.57,0.44,1.92,0.11,3.72,4.09,10.44,372932,774218,396819,421255,2360618,374569,413391,425339,387303,981692,4704999,3723307,13.43,57.6,16.12,14.6
30,2018,1041732,88.86,0.44,6.46,0.76,0.07,3.4,3.75,6.81,61810,127768,64452,73435,390755,59101,66801,75255,76419,183823,814140,630317,13.24,55.71,17.65,13.6
31,2018,1904760,87.49,4.77,0.91,2.32,0.07,4.44,10.67,8.91,131812,264249,129350,136886,753272,109634,119414,125370,114929,286080,1432242,1146162,13.98,60.34,15.02,11.5
32,2018,2922849,66.21,8.93,1.23,8.03,0.66,14.94,28.45,13.7,182311,379597,177213,182278,1173952,195494,193152,186207,174085,438051,2248373,1810322,12.3,59.39,14.99,12.8
33,2018,1343622,93.03,1.53,0.16,2.69,0.03,2.57,3.6,7.1,64079,148612,88652,90164,496028,94043,106877,110487,95512,227984,1081059,853075,13.31,52.75,16.97,12.6
34,2018,8881845,67.91,13.47,0.21,9.37,0.04,9.0,19.91,10.46,521684,1103003,565170,562446,3406505,623993,662252,636206,551339,1376863,6908443,5531580,12.7,56.65,15.5,10.4
35,2018,2092434,74.5,2.06,9.55,1.51,0.07,12.31,48.54,14.74,128357,281753,140188,147856,815957,120433,131970,139817,132632,341515,1598270,1256755,13.77,58.6,16.32,15.1
36,2018,19618453,63.79,15.64,0.41,8.31,0.04,11.81,18.89,13.52,1163606,2267695,1224760,1356050,7887722,1295956,1379690,1342368,1212727,3068689,15476820,12408131,13.16,57.7,15.64,11.5
37,2018,10155624,68.87,21.46,1.19,2.78,0.07,5.62,9.22,12.64,603193,1294042,676295,700320,4015345,686210,690424,676977,618435,1570998,7863008,6292010,13.56,58.22,15.47,13.6
38,2018,752201,87.11,2.72,5.25,1.44,0.05,3.43,3.53,7.51,52820,94926,47651,66571,313629,40274,45712,49869,45061,109910,578483,468573,15.19,61.34,14.61,10.8
39,2018,11641879,81.51,12.35,0.2,2.15,0.03,3.75,3.7,9.9,695933,1461232,772199,775430,4446663,744680,799749,834920,765841,1892861,9023711,7130850,13.29,56.72,16.26,14.0
40,2018,3918137,72.43,7.35,7.52,2.13,0.11,10.46,10.4,12.19,263992,536998,262995,280151,1566301,229908,245790,255043,230875,589230,2959431,2370201,13.86,60.42,15.04,16.0
41,2018,4081943,84.42,1.91,1.15,4.28,0.39,7.86,12.84,9.62,231927,488188,246092,265043,1621357,257594,256516,266912,276903,682546,3213765,2531219,12.52,57.36,16.72,14.5
42,2018,12791181,80.85,11.13,0.19,3.35,0.03,4.45,7.08,9.8,709250,1491997,826326,842245,4831541,828116,903178,934674,862564,2229861,10115851,7885990,13.04,54.98,17.43,13.9
44,2018,1056611,80.87,6.55,0.52,3.38,0.08,8.6,15.03,12.0,54587,116478,73378,78980,418646,69762,76883,76732,69313,174210,847742,673532,14.42,55.81,16.49,13.6
45,2018,4955925,67.25,27.03,0.34,1.52,0.06,3.81,5.56,12.87,290090,619683,323640,337510,1913888,313820,334013,334313,321035,829083,3859674,3030591,13.34,56.98,16.73,14.7
46,2018,864289,84.47,1.88,8.72,1.46,0.03,3.44,3.7,8.28,60407,119006,57056,60737,331685,47405,54298,59203,55477,136808,651223,514415,13.63,59.14,15.83,11.9
47,2018,6651089,77.67,16.8,0.27,1.7,0.06,3.5,5.3,13.03,403591,840234,424822,451736,2607745,437508,452747,448270,415781,1045213,5149695,4104482,13.18,57.91,15.71,15.4
48,2018,27885195,74.31,12.07,0.49,4.69,0.08,8.36,39.17,16.8,1998869,4085565,1987192,1998210,11847281,1777695,1733345,1658878,1445748,3337814,20592509,17254695,14.29,64.31,11.97,11.5
49,2018,3045350,86.43,1.18,1.07,2.29,0.89,8.14,13.86,8.04,252865,518840,237276,254304,1351855,161074,151460,149349,139638,320269,2126301,1806032,16.14,69.73,10.52,9.6
50,2018,624977,94.33,1.29,0.34,1.69,0.03,2.32,1.87,7.44,29676,66474,43222,45910,232496,40096,46205,49272,47208,113550,506631,393081,14.26,52.59,18.17,14.4
51,2018,8413774,68.02,19.17,0.27,6.32,0.07,6.15,9.17,10.69,509955,1042099,547867,583501,3398107,564733,592357,567471,508806,1230246,6546347,5316101,13.45,58.83,14.62,11.6
53,2018,7294336,76.03,3.7,1.3,8.33,0.66,9.98,12.5,8.89,453008,909873,444352,485160,2972063,467768,476486,487173,454466,1073499,5661461,4587962,12.74,59.43,14.72,12.7
54,2018,1829054,93.18,3.65,0.2,0.79,0.02,2.16,1.5,13.48,99291,209144,110333,118202,667545,117794,124958,132236,133367,344719,1455681,1110962,12.49,53.36,18.85,19.5
55,2018,5778394,85.59,6.38,0.87,2.76,0.03,4.36,6.68,8.07,335920,728244,381105,402236,2207589,365843,411833,424779,379491,924695,4489451,3564756,13.56,56.62,16.0,11.8
56,2018,581836,91.44,0.95,2.42,0.82,0.09,4.29,9.79,7.1,37270,78620,36734,39921,228575,32792,36165,40523,40114,87777,444117,356340,13.17,59.2,15.09,13.0
72,2018,3386941,67.43,10.78,0.25,0.2,0.01,21.34,98.89,,157638,393660,230407,240838,1317954,218156,227538,217688,213684,640623,2698996,2058373,13.91,55.19,18.91,
