COUNTYFP,SVIth1,SVIth2,SVIth3,SVIth4,SVIS
35039,,0.88,0.93,0.54,
01001,0.36,0.58,0.59,0.37,0.44
01009,0.61,0.32,0.59,0.17,0.42
01013,0.85,0.91,0.64,0.63,0.87
01015,0.79,0.83,0.65,0.65,0.83
01017,0.69,0.66,0.46,0.79,0.74
01031,0.54,0.81,0.73,0.19,0.54
01033,0.65,0.69,0.4,0.1,0.43
01039,0.82,0.91,0.39,0.47,0.77
01043,0.69,0.44,0.33,0.39,0.52
01045,0.78,0.75,0.68,0.46,0.76
01051,0.49,0.54,0.58,0.52,0.54
01055,0.72,0.76,0.64,0.29,0.66
01067,0.7,0.64,0.47,0.27,0.55
01069,0.69,0.85,0.59,0.35,0.68
01071,0.79,0.56,0.31,0.32,0.57
01077,0.49,0.25,0.45,0.56,0.45
01079,0.74,0.52,0.37,0.2,0.5
01083,0.58,0.3,0.62,0.45,0.53
01089,0.29,0.12,0.72,0.38,0.31
01095,0.74,0.77,0.77,0.31,0.73
01097,0.68,0.59,0.68,0.72,0.75
01103,0.58,0.67,0.75,0.58,0.69
01111,0.73,0.48,0.43,0.82,0.72
01113,0.84,0.88,0.79,0.78,0.91
01115,0.55,0.31,0.4,0.25,0.37
01117,0.08,0.07,0.69,0.18,0.12
01121,0.87,0.78,0.59,0.8,0.87
02261,0.15,0.06,0.47,0.85,0.27
04021,0.7,0.7,0.9,0.83,0.86
05009,0.52,0.81,0.06,0.46,0.44
05011,0.88,0.97,0.89,0.89,0.98
05033,0.61,0.87,0.58,0.3,0.61
05037,0.68,0.97,0.35,0.44,0.7
05045,0.43,0.19,0.52,0.76,0.48
05047,0.7,0.66,0.27,0.55,0.59
05051,0.64,0.92,0.6,0.83,0.83
05053,0.51,0.74,0.13,0.26,0.35
05063,0.63,0.91,0.56,0.63,0.75
05083,0.85,0.94,0.41,0.48,0.8
05085,0.36,0.56,0.46,0.23,0.33
05087,0.76,0.64,0.53,0.38,0.65
05115,0.75,0.59,0.67,0.74,0.79
05117,0.71,0.76,0.22,0.7,0.65
05121,0.69,0.98,0.27,0.49,0.72
05125,0.18,0.74,0.55,0.33,0.33
05131,0.67,0.85,0.84,0.7,0.83
05145,0.67,0.59,0.5,0.85,0.74
06007,0.66,0.31,0.8,0.95,0.81
06017,0.17,0.1,0.69,0.22,0.18
06023,0.64,0.32,0.75,0.9,0.76
06027,0.28,0.26,0.85,0.89,0.57
06061,0.07,0.12,0.74,0.2,0.15
06079,0.23,0.05,0.84,0.78,0.37
06089,0.49,0.75,0.62,0.82,0.7
06093,0.6,0.72,0.69,0.67,0.72
08019,0.0,0.03,0.48,0.14,0.02
08039,0.0,0.02,0.2,0.0,0.0
08047,0.0,0.0,0.28,0.15,0.0
08051,0.26,0.01,0.34,0.53,0.14
08057,0.41,0.04,0.68,0.01,0.11
08065,0.55,0.01,0.87,0.64,0.45
08067,0.05,0.01,0.48,0.68,0.11
08071,0.7,0.62,0.85,0.84,0.84
08075,0.42,0.13,0.78,0.96,0.63
08077,0.53,0.48,0.6,0.6,0.58
08083,0.5,0.7,0.55,0.28,0.49
08085,0.62,0.53,0.8,0.64,0.72
08093,0.08,0.03,0.2,0.0,0.0
08099,0.84,0.94,0.9,0.74,0.94
08101,0.71,0.9,0.76,0.79,0.87
08103,0.29,0.09,0.6,0.65,0.34
08119,0.15,0.13,0.35,0.08,0.07
08121,0.19,0.42,0.51,0.37,0.28
09005,0.11,0.05,0.54,0.16,0.08
09007,0.05,0.05,0.58,0.35,0.12
09011,0.23,0.2,0.76,0.54,0.36
09015,0.35,0.21,0.7,0.54,0.42
10001,0.48,0.66,0.78,0.84,0.73
12019,0.37,0.43,0.74,0.22,0.38
12033,0.47,0.09,0.73,0.69,0.49
12089,0.16,0.54,0.41,0.3,0.25
12101,0.48,0.6,0.74,0.66,0.63
12109,0.08,0.11,0.47,0.11,0.08
12113,0.24,0.36,0.51,0.42,0.31
13015,0.57,0.55,0.72,0.42,0.59
13039,0.42,0.44,0.54,0.68,0.52
13045,0.79,0.53,0.73,0.63,0.78
13047,0.32,0.21,0.31,0.07,0.13
13057,0.11,0.09,0.75,0.1,0.12
13073,0.16,0.22,0.75,0.04,0.13
13077,0.27,0.25,0.76,0.12,0.24
13085,0.24,0.15,0.34,0.09,0.1
13113,0.06,0.1,0.76,0.02,0.06
13115,0.75,0.64,0.81,0.94,0.89
13123,0.64,0.5,0.7,0.27,0.56
13127,0.48,0.81,0.79,0.69,0.72
13143,0.63,0.9,0.29,0.29,0.54
13145,0.26,0.39,0.32,0.05,0.13
13147,0.72,0.84,0.62,0.39,0.72
13153,0.49,0.59,0.79,0.4,0.57
13157,0.44,0.33,0.68,0.17,0.35
13169,0.62,0.59,0.32,0.13,0.38
13187,0.61,0.12,0.49,0.44,0.43
13207,0.52,0.08,0.56,0.68,0.46
13211,0.37,0.31,0.68,0.05,0.24
13227,0.4,0.25,0.3,0.32,0.28
13231,0.53,0.07,0.23,0.07,0.15
13233,0.77,0.81,0.82,0.45,0.8
13295,0.76,0.72,0.29,0.5,0.64
13297,0.5,0.53,0.57,0.03,0.29
13299,0.72,0.89,0.46,0.9,0.84
13311,0.48,0.27,0.38,0.09,0.24
16001,0.09,0.1,0.59,0.24,0.14
16017,0.32,0.38,0.16,0.35,0.24
16021,0.4,0.4,0.39,0.26,0.31
16023,0.42,0.46,0.01,0.34,0.25
16025,0.3,0.65,0.28,0.01,0.13
16039,0.59,0.44,0.8,0.37,0.59
16045,0.64,0.97,0.53,0.25,0.66
16055,0.27,0.53,0.26,0.26,0.23
16069,0.33,0.81,0.35,0.71,0.51
16085,0.12,0.37,0.01,0.24,0.09
17001,0.24,0.56,0.19,0.38,0.25
17007,0.44,0.54,0.82,0.22,0.47
17011,0.3,0.64,0.55,0.13,0.29
17013,0.35,0.5,0.01,0.24,0.19
17015,0.37,0.21,0.24,0.13,0.17
17021,0.34,0.31,0.1,0.41,0.24
17023,0.36,0.83,0.06,0.09,0.21
17027,0.16,0.13,0.24,0.54,0.18
17029,0.55,0.22,0.32,0.76,0.5
17035,0.36,0.53,0.03,0.11,0.16
17039,0.29,0.19,0.23,0.13,0.13
17045,0.42,0.82,0.17,0.26,0.34
17047,0.35,0.7,0.14,0.19,0.24
17049,0.18,0.29,0.28,0.39,0.2
17053,0.44,0.8,0.19,0.16,0.31
17055,0.76,0.94,0.04,0.41,0.61
17057,0.62,0.63,0.41,0.51,0.58
17061,0.47,0.5,0.01,0.12,0.2
17063,0.14,0.14,0.5,0.06,0.08
17065,0.25,0.71,0.07,0.11,0.15
17067,0.35,0.29,0.07,0.09,0.12
17073,0.32,0.3,0.41,0.13,0.2
17075,0.45,0.53,0.5,0.16,0.34
17079,0.39,0.57,0.2,0.16,0.24
17081,0.71,0.87,0.33,0.93,0.81
17083,0.18,0.1,0.23,0.26,0.1
17091,0.52,0.52,0.7,0.76,0.67
17099,0.47,0.37,0.55,0.37,0.43
17105,0.41,0.7,0.28,0.67,0.48
17111,0.07,0.08,0.72,0.04,0.07
17115,0.53,0.75,0.42,0.64,0.6
17117,0.44,0.4,0.07,0.15,0.2
17119,0.36,0.25,0.37,0.37,0.3
17123,0.28,0.19,0.11,0.03,0.05
17125,0.58,0.82,0.01,0.1,0.29
17127,0.66,0.93,0.25,0.81,0.75
17129,0.13,0.47,0.02,0.05,0.05
17131,0.3,0.32,0.05,0.12,0.11
17133,0.01,0.05,0.18,0.01,0.0
17141,0.3,0.36,0.64,0.19,0.29
17147,0.06,0.16,0.04,0.0,0.0
17149,0.52,0.78,0.08,0.26,0.35
17155,0.08,0.24,0.44,0.0,0.03
17159,0.54,0.64,0.21,0.35,0.41
17161,0.49,0.65,0.8,0.78,0.71
17163,0.48,0.47,0.65,0.45,0.52
17167,0.33,0.51,0.42,0.64,0.44
17171,0.4,0.32,0.06,0.08,0.14
17173,0.31,0.19,0.02,0.11,0.08
17175,0.29,0.39,0.04,0.01,0.06
17179,0.11,0.24,0.18,0.26,0.11
17181,0.66,0.77,0.32,0.76,0.68
17185,0.4,0.49,0.28,0.32,0.32
17187,0.53,0.46,0.64,0.68,0.61
17189,0.12,0.15,0.15,0.17,0.07
17191,0.38,0.76,0.27,0.53,0.43
17193,0.5,0.92,0.14,0.58,0.54
17195,0.3,0.59,0.55,0.24,0.33
17197,0.16,0.14,0.86,0.15,0.2
17199,0.45,0.69,0.4,0.47,0.48
17203,0.05,0.15,0.05,0.09,0.02
18003,0.43,0.58,0.76,0.39,0.52
18005,0.28,0.33,0.66,0.41,0.36
18007,0.5,0.93,0.26,0.05,0.33
18009,0.52,0.85,0.04,0.28,0.37
18013,0.16,0.14,0.16,0.1,0.06
18015,0.27,0.31,0.28,0.05,0.12
18019,0.32,0.2,0.52,0.25,0.25
18021,0.42,0.8,0.18,0.25,0.33
18023,0.49,0.55,0.75,0.45,0.57
18025,0.64,0.65,0.07,0.27,0.39
18029,0.25,0.23,0.04,0.12,0.08
18031,0.33,0.59,0.15,0.17,0.21
18033,0.31,0.72,0.14,0.2,0.23
18035,0.69,0.25,0.35,0.7,0.57
18037,0.19,0.21,0.5,0.3,0.21
18041,0.69,0.86,0.12,0.59,0.61
18043,0.2,0.28,0.33,0.2,0.17
18045,0.43,0.45,0.21,0.08,0.2
18047,0.27,0.57,0.12,0.1,0.15
18049,0.48,0.52,0.41,0.19,0.35
18051,0.22,0.62,0.13,0.67,0.32
18055,0.54,0.62,0.21,0.44,0.44
18059,0.03,0.19,0.25,0.03,0.02
18061,0.41,0.4,0.09,0.14,0.19
18063,0.04,0.21,0.54,0.08,0.08
18065,0.57,0.57,0.11,0.35,0.38
18067,0.51,0.86,0.4,0.25,0.48
18069,0.26,0.12,0.15,0.25,0.12
18071,0.55,0.65,0.55,0.37,0.54
18073,0.32,0.5,0.37,0.22,0.27
18079,0.54,0.57,0.14,0.37,0.38
18081,0.12,0.29,0.38,0.19,0.14
18083,0.57,0.8,0.17,0.76,0.59
18085,0.33,0.42,0.6,0.62,0.46
18089,0.62,0.67,0.87,0.5,0.73
18091,0.65,0.39,0.53,0.91,0.72
18093,0.42,0.76,0.08,0.19,0.28
18095,0.63,0.82,0.47,0.59,0.67
18099,0.52,0.34,0.64,0.69,0.58
18101,0.4,0.73,0.01,0.22,0.24
18103,0.71,0.59,0.28,0.54,0.59
18107,0.31,0.52,0.48,0.42,0.37
18109,0.41,0.37,0.11,0.21,0.22
18111,0.6,0.57,0.47,0.04,0.34
18113,0.4,0.52,0.63,0.44,0.47
18115,0.17,0.07,0.01,0.12,0.03
18117,0.62,0.95,0.09,0.7,0.65
18119,0.64,0.45,0.11,0.24,0.35
18125,0.37,0.45,0.03,0.16,0.17
18127,0.15,0.16,0.47,0.23,0.15
18129,0.14,0.08,0.02,0.04,0.01
18131,0.53,0.62,0.05,0.09,0.23
18135,0.59,0.86,0.35,0.11,0.43
18137,0.38,0.38,0.2,0.69,0.38
18139,0.62,0.37,0.16,0.08,0.26
18141,0.48,0.47,0.71,0.72,0.62
18143,0.67,0.51,0.05,0.39,0.42
18145,0.31,0.3,0.38,0.19,0.22
18147,0.2,0.22,0.19,0.11,0.09
18149,0.7,0.35,0.3,0.1,0.34
18151,0.25,0.26,0.37,0.47,0.27
18155,0.75,0.87,0.16,0.45,0.63
18159,0.19,0.29,0.22,0.05,0.07
18161,0.3,0.3,0.2,0.19,0.17
18165,0.47,0.9,0.06,0.48,0.45
18169,0.41,0.4,0.16,0.35,0.29
18171,0.19,0.75,0.07,0.02,0.08
18173,0.04,0.23,0.26,0.16,0.07
18175,0.61,0.78,0.03,0.25,0.38
18177,0.59,0.89,0.45,0.69,0.71
18179,0.18,0.45,0.2,0.18,0.14
18181,0.28,0.63,0.57,0.07,0.24
18183,0.1,0.44,0.05,0.03,0.03
19001,0.09,0.59,0.03,0.06,0.05
19003,0.15,0.17,0.05,0.08,0.04
19005,0.24,0.23,0.56,0.53,0.32
19007,0.43,0.65,0.13,0.49,0.38
19011,0.05,0.19,0.11,0.03,0.01
19015,0.07,0.2,0.24,0.36,0.12
19017,0.03,0.1,0.18,0.17,0.03
19023,0.12,0.24,0.06,0.04,0.02
19027,0.06,0.37,0.05,0.12,0.05
19029,0.27,0.43,0.3,0.18,0.2
19031,0.02,0.1,0.16,0.03,0.01
19033,0.15,0.47,0.32,0.45,0.25
19035,0.06,0.61,0.23,0.31,0.17
19037,0.07,0.24,0.36,0.05,0.06
19039,0.35,0.45,0.65,0.58,0.48
19041,0.2,0.71,0.45,0.44,0.34
19043,0.13,0.35,0.25,0.39,0.18
19045,0.29,0.61,0.2,0.32,0.26
19055,0.09,0.24,0.03,0.1,0.03
19061,0.18,0.24,0.32,0.54,0.23
19065,0.23,0.71,0.26,0.22,0.23
19067,0.33,0.75,0.36,0.32,0.36
19069,0.29,0.63,0.53,0.03,0.2
19071,0.14,0.29,0.07,0.08,0.06
19073,0.21,0.73,0.26,0.14,0.2
19075,0.01,0.24,0.06,0.01,0.0
19077,0.16,0.66,0.25,0.06,0.12
19079,0.12,0.18,0.5,0.13,0.12
19081,0.06,0.22,0.32,0.12,0.07
19083,0.11,0.13,0.36,0.29,0.12
19085,0.11,0.34,0.03,0.14,0.06
19087,0.28,0.63,0.45,0.25,0.31
19089,0.21,0.59,0.06,0.21,0.16
19091,0.19,0.41,0.41,0.08,0.14
19093,0.12,0.5,0.02,0.16,0.09
19095,0.04,0.17,0.13,0.13,0.03
19097,0.23,0.52,0.02,0.16,0.13
19099,0.22,0.44,0.14,0.56,0.25
19101,0.45,0.1,0.74,0.69,0.49
19105,0.19,0.11,0.34,0.5,0.19
19107,0.24,0.4,0.03,0.01,0.04
19109,0.09,0.66,0.18,0.1,0.1
19111,0.51,0.78,0.21,0.56,0.5
19117,0.25,0.74,0.3,0.25,0.28
19121,0.05,0.24,0.2,0.02,0.02
19123,0.4,0.68,0.32,0.6,0.46
19125,0.11,0.32,0.16,0.59,0.19
19129,0.08,0.45,0.21,0.18,0.11
19131,0.18,0.4,0.1,0.09,0.09
19133,0.28,0.57,0.07,0.2,0.18
19135,0.46,0.37,0.15,0.22,0.25
19139,0.25,0.48,0.77,0.36,0.39
19141,0.1,0.39,0.34,0.54,0.23
19143,0.24,0.42,0.61,0.19,0.26
19145,0.3,0.42,0.44,0.43,0.33
19147,0.05,0.35,0.42,0.33,0.17
19149,0.05,0.59,0.44,0.09,0.13
19151,0.23,0.34,0.39,0.08,0.15
19155,0.27,0.63,0.55,0.64,0.46
19159,0.19,0.66,0.05,0.14,0.13
19161,0.12,0.48,0.33,0.02,0.07
19163,0.17,0.27,0.62,0.36,0.27
19165,0.1,0.64,0.26,0.11,0.13
19171,0.28,0.51,0.72,0.2,0.33
19173,0.25,0.58,0.61,0.14,0.28
19175,0.43,0.73,0.4,0.38,0.45
19177,0.35,0.43,0.21,0.25,0.25
19179,0.6,0.58,0.74,0.78,0.74
19181,0.02,0.25,0.12,0.28,0.07
19183,0.19,0.48,0.52,0.19,0.22
19185,0.37,0.85,0.24,0.54,0.46
19187,0.42,0.49,0.37,0.6,0.46
19189,0.23,0.49,0.36,0.18,0.21
19195,0.18,0.56,0.17,0.02,0.07
19197,0.33,0.89,0.67,0.26,0.48
20001,0.47,0.75,0.13,0.42,0.4
20007,0.24,0.73,0.37,0.24,0.28
20009,0.43,0.85,0.7,0.31,0.54
20011,0.42,0.97,0.18,0.72,0.58
20013,0.32,0.83,0.31,0.12,0.27
20015,0.2,0.24,0.32,0.62,0.26
20017,0.39,0.77,0.28,0.41,0.41
20025,0.12,0.91,0.43,0.28,0.31
20027,0.04,0.66,0.06,0.05,0.05
20029,0.32,0.88,0.16,0.17,0.27
20031,0.17,0.8,0.11,0.26,0.2
20035,0.5,0.88,0.67,0.72,0.73
20037,0.57,0.29,0.53,0.96,0.7
20041,0.41,0.74,0.12,0.32,0.33
20051,0.22,0.04,0.45,0.36,0.16
20059,0.25,0.28,0.29,0.34,0.21
20071,0.3,0.88,0.8,0.49,0.58
20077,0.37,0.74,0.49,0.12,0.32
20079,0.23,0.58,0.6,0.33,0.34
20083,0.22,0.17,0.48,0.06,0.11
20085,0.25,0.89,0.39,0.1,0.27
20087,0.2,0.46,0.11,0.02,0.05
20095,0.12,0.42,0.15,0.03,0.05
20097,0.23,0.31,0.32,0.47,0.26
20099,0.55,0.93,0.33,0.6,0.64
20101,0.14,0.53,0.19,0.0,0.03
20103,0.12,0.43,0.51,0.33,0.24
20105,0.25,0.61,0.05,0.11,0.13
20107,0.56,0.97,0.07,0.21,0.45
20109,0.11,0.48,0.36,0.1,0.13
20111,0.56,0.2,0.82,0.94,0.73
20113,0.12,0.34,0.15,0.21,0.11
20115,0.28,0.37,0.12,0.23,0.18
20117,0.2,0.56,0.11,0.12,0.13
20119,0.39,0.68,0.79,0.09,0.37
20121,0.03,0.28,0.12,0.06,0.03
20123,0.31,0.71,0.1,0.37,0.28
20125,0.61,0.96,0.66,0.66,0.8
20127,0.22,0.72,0.36,0.18,0.24
20131,0.09,0.44,0.1,0.2,0.1
20133,0.45,0.98,0.36,0.67,0.66
20139,0.36,0.77,0.15,0.12,0.23
20141,0.19,0.66,0.05,0.03,0.07
20143,0.13,0.21,0.18,0.02,0.03
20147,0.15,0.74,0.23,0.35,0.24
20151,0.24,0.22,0.62,0.71,0.39
20155,0.43,0.58,0.53,0.79,0.59
20159,0.53,0.32,0.56,0.3,0.43
20163,0.28,0.69,0.06,0.07,0.14
20165,0.3,0.39,0.08,0.03,0.08
20167,0.36,0.51,0.32,0.13,0.24
20169,0.27,0.45,0.69,0.49,0.42
20173,0.39,0.55,0.81,0.46,0.54
20179,0.02,0.89,0.22,0.02,0.07
20181,0.47,0.92,0.3,0.36,0.5
20185,0.35,0.5,0.67,0.06,0.28
20191,0.27,0.62,0.19,0.24,0.22
20193,0.13,0.11,0.36,0.1,0.07
20195,0.02,0.53,0.05,0.08,0.04
20197,0.07,0.47,0.18,0.04,0.05
20199,0.13,0.76,0.51,0.02,0.14
20201,0.26,0.36,0.35,0.07,0.15
21003,0.78,0.93,0.27,0.37,0.68
21005,0.56,0.61,0.18,0.06,0.26
21007,0.62,0.73,0.09,0.36,0.45
21009,0.88,0.91,0.26,0.52,0.78
21017,0.64,0.74,0.68,0.17,0.56
21023,0.7,0.16,0.08,0.49,0.39
21029,0.35,0.35,0.16,0.06,0.14
21039,0.72,0.28,0.14,0.18,0.34
21049,0.57,0.83,0.46,0.48,0.61
21055,0.59,0.64,0.22,0.44,0.48
21059,0.46,0.82,0.48,0.71,0.62
21073,0.39,0.47,0.62,0.73,0.55
21079,0.7,0.82,0.13,0.15,0.43
21083,0.77,0.72,0.64,0.58,0.78
21089,0.62,0.74,0.02,0.15,0.32
21091,0.59,0.75,0.28,0.13,0.38
21093,0.42,0.77,0.5,0.66,0.57
21097,0.66,0.54,0.11,0.56,0.51
21101,0.58,0.93,0.32,0.77,0.71
21103,0.68,0.91,0.2,0.24,0.53
21107,0.65,0.83,0.21,0.43,0.55
21117,0.29,0.41,0.47,0.43,0.34
21123,0.71,0.87,0.34,0.15,0.53
21125,0.91,0.78,0.04,0.74,0.75
21141,0.7,0.7,0.36,0.25,0.53
21145,0.32,0.64,0.39,0.55,0.42
21149,0.68,0.85,0.02,0.23,0.42
21151,0.69,0.16,0.31,0.59,0.5
21157,0.4,0.49,0.01,0.43,0.27
21161,0.63,0.64,0.46,0.72,0.67
21163,0.48,0.26,0.19,0.43,0.32
21179,0.32,0.73,0.22,0.27,0.29
21185,0.01,0.1,0.33,0.16,0.04
21191,0.65,0.65,0.07,0.32,0.42
21199,0.89,0.86,0.18,0.52,0.74
21209,0.22,0.38,0.53,0.51,0.33
21211,0.37,0.31,0.74,0.38,0.43
21213,0.5,0.33,0.53,0.08,0.29
21215,0.2,0.17,0.17,0.03,0.04
21227,0.52,0.4,0.76,0.88,0.71
21229,0.63,0.48,0.47,0.35,0.51
21239,0.27,0.38,0.61,0.06,0.2
22015,0.49,0.47,0.65,0.66,0.59
22019,0.56,0.79,0.61,0.78,0.74
22055,0.43,0.3,0.79,0.84,0.62
22063,0.39,0.51,0.43,0.52,0.43
22093,0.66,0.54,0.49,0.6,0.63
22101,0.87,0.77,0.87,0.79,0.92
22103,0.27,0.5,0.69,0.18,0.31
22105,0.84,0.9,0.7,0.72,0.89
22109,0.8,0.8,0.77,0.85,0.9
22113,0.81,0.72,0.7,0.62,0.82
22115,0.75,0.61,0.58,0.65,0.74
23001,0.35,0.61,0.43,0.88,0.56
23005,0.04,0.04,0.48,0.59,0.14
23007,0.36,0.21,0.12,0.37,0.22
23009,0.15,0.35,0.11,0.54,0.19
23011,0.3,0.42,0.2,0.81,0.38
23013,0.14,0.27,0.06,0.47,0.15
23017,0.54,0.51,0.09,0.41,0.37
23019,0.42,0.4,0.14,0.86,0.45
23023,0.04,0.17,0.24,0.15,0.05
23025,0.76,0.73,0.16,0.56,0.62
23027,0.33,0.51,0.05,0.3,0.22
23029,0.68,0.82,0.34,0.52,0.64
23031,0.07,0.15,0.25,0.28,0.09
24009,0.13,0.17,0.44,0.01,0.05
24013,0.04,0.05,0.34,0.18,0.04
24015,0.27,0.22,0.5,0.45,0.29
24021,0.08,0.1,0.77,0.21,0.16
24023,0.26,0.33,0.07,0.36,0.18
24025,0.09,0.08,0.56,0.14,0.09
24035,0.03,0.06,0.53,0.03,0.02
24037,0.11,0.24,0.57,0.33,0.21
24043,0.46,0.53,0.58,0.8,0.61
25003,0.27,0.44,0.55,0.6,0.41
25007,0.02,0.07,0.49,0.01,0.01
25011,0.16,0.19,0.49,0.37,0.21
25019,0.01,0.04,0.59,0.07,0.03
25023,0.12,0.17,0.72,0.35,0.23
26005,0.21,0.17,0.42,0.25,0.18
26007,0.47,0.67,0.12,0.32,0.34
26015,0.21,0.21,0.17,0.11,0.09
26017,0.56,0.67,0.27,0.32,0.44
26021,0.49,0.62,0.65,0.74,0.65
26023,0.49,0.63,0.52,0.79,0.63
26027,0.44,0.72,0.32,0.16,0.33
26029,0.14,0.26,0.19,0.17,0.1
26037,0.08,0.08,0.33,0.08,0.04
26041,0.32,0.82,0.12,0.48,0.35
26043,0.24,0.6,0.1,0.38,0.23
26047,0.14,0.24,0.21,0.3,0.14
26055,0.12,0.15,0.29,0.54,0.18
26059,0.53,0.41,0.23,0.75,0.5
26061,0.63,0.03,0.36,0.93,0.5
26063,0.42,0.44,0.13,0.29,0.27
26067,0.45,0.28,0.29,0.83,0.48
26075,0.48,0.56,0.38,0.76,0.55
26079,0.72,0.74,0.13,0.31,0.51
26087,0.35,0.14,0.39,0.3,0.24
26091,0.34,0.55,0.52,0.42,0.41
26093,0.03,0.04,0.17,0.05,0.01
26099,0.32,0.2,0.74,0.31,0.33
26103,0.43,0.07,0.33,0.58,0.31
26105,0.39,0.66,0.24,0.33,0.34
26107,0.72,0.19,0.16,0.93,0.6
26109,0.28,0.58,0.16,0.42,0.28
26111,0.2,0.16,0.2,0.4,0.16
26113,0.63,0.79,0.22,0.28,0.48
26115,0.24,0.22,0.25,0.22,0.15
26117,0.6,0.74,0.28,0.72,0.61
26121,0.63,0.73,0.42,0.79,0.7
26123,0.67,0.75,0.41,0.5,0.63
26127,0.74,0.89,0.73,0.73,0.86
26133,0.74,0.9,0.16,0.77,0.74
26137,0.41,0.78,0.08,0.45,0.37
26139,0.12,0.08,0.65,0.49,0.22
26145,0.62,0.75,0.61,0.64,0.7
26147,0.41,0.46,0.25,0.23,0.28
26149,0.55,0.8,0.59,0.58,0.65
26151,0.63,0.68,0.28,0.3,0.48
26155,0.28,0.35,0.09,0.14,0.13
26157,0.57,0.46,0.2,0.38,0.4
26159,0.56,0.53,0.68,0.68,0.66
26165,0.62,0.84,0.12,0.39,0.5
27003,0.03,0.17,0.67,0.21,0.14
27005,0.19,0.68,0.32,0.44,0.3
27015,0.06,0.27,0.27,0.32,0.13
